iter	Passed	Remaining
0	10	38143
1	20	35579
2	29	34059
3	39	34466
4	48	33920
5	57	33412
6	66	33109
7	75	32798
8	83	32539
9	92	32372
10	101	32224
11	110	32081
12	119	32030
13	128	31917
14	137	31843
15	145	31780
16	154	31677
17	163	31591
18	172	31559
19	181	31521
20	189	31453
21	198	31387
22	207	31359
23	216	31311
24	225	31298
25	234	31303
26	243	31291
27	252	31293
28	264	31638
29	273	31610
30	282	31592
31	291	31582
32	300	31558
33	309	31530
34	318	31505
35	327	31488
36	336	31468
37	345	31463
38	354	31436
39	363	31416
40	372	31396
41	380	31356
42	389	31343
43	398	31327
44	407	31303
45	416	31271
46	425	31245
47	434	31222
48	443	31215
49	452	31217
50	461	31208
51	470	31202
52	479	31187
53	488	31159
54	497	31151
55	506	31144
56	515	31129
57	524	31117
58	533	31100
59	542	31102
60	551	31092
61	560	31076
62	569	31057
63	578	31053
64	587	31050
65	596	31051
66	605	31049
67	615	31048
68	624	31044
69	633	31036
70	642	31019
71	651	31005
72	660	31000
73	669	30993
74	678	30980
75	687	30971
76	696	30962
77	705	30960
78	714	30948
79	723	30939
80	732	30924
81	741	30916
82	750	30902
83	759	30889
84	768	30884
85	777	30872
86	786	30861
87	805	31243
88	814	31227
89	823	31211
90	832	31205
91	841	31183
92	850	31167
93	859	31157
94	868	31142
95	877	31132
96	887	31120
97	896	31105
98	905	31091
99	913	31070
100	922	31060
101	932	31049
102	941	31042
103	950	31036
104	959	31019
105	968	31006
106	977	30994
107	986	30983
108	995	30976
109	1004	30964
110	1013	30955
111	1022	30939
112	1031	30926
113	1041	30921
114	1050	30911
115	1059	30896
116	1068	30888
117	1077	30875
118	1086	30861
119	1095	30851
120	1104	30845
121	1113	30829
122	1122	30814
123	1131	30806
124	1140	30785
125	1149	30774
126	1158	30762
127	1167	30746
128	1176	30746
129	1185	30736
130	1194	30724
131	1203	30713
132	1212	30707
133	1221	30691
134	1230	30681
135	1239	30668
136	1248	30656
137	1257	30647
138	1267	30637
139	1276	30628
140	1285	30618
141	1294	30606
142	1303	30591
143	1312	30584
144	1321	30573
145	1330	30567
146	1339	30557
147	1348	30541
148	1357	30533
149	1366	30525
150	1375	30518
151	1385	30507
152	1393	30491
153	1402	30475
154	1413	30504
155	1423	30506
156	1432	30498
157	1441	30488
158	1450	30480
159	1459	30465
160	1471	30515
161	1481	30519
162	1490	30516
163	1500	30516
164	1509	30514
165	1519	30513
166	1528	30509
167	1538	30513
168	1547	30510
169	1557	30509
170	1566	30503
171	1576	30498
172	1585	30484
173	1594	30479
174	1603	30467
175	1612	30453
176	1621	30442
177	1630	30429
178	1639	30416
179	1648	30413
180	1658	30404
181	1667	30391
182	1676	30379
183	1684	30365
184	1693	30350
185	1702	30342
186	1712	30331
187	1720	30318
188	1729	30305
189	1738	30291
190	1747	30278
191	1757	30272
192	1766	30264
193	1775	30251
194	1784	30236
195	1793	30227
196	1802	30215
197	1811	30206
198	1820	30197
199	1829	30185
200	1838	30174
201	1847	30161
202	1856	30150
203	1865	30142
204	1874	30133
205	1884	30127
206	1893	30115
207	1902	30103
208	1910	30091
209	1920	30081
210	1929	30070
211	1937	30055
212	1946	30043
213	1956	30045
214	1965	30034
215	1974	30024
216	1984	30017
217	1993	30004
218	2001	29992
219	2011	29982
220	2020	29971
221	2029	29964
222	2038	29955
223	2047	29945
224	2056	29933
225	2065	29924
226	2074	29914
227	2083	29903
228	2092	29893
229	2101	29881
230	2110	29869
231	2119	29858
232	2128	29845
233	2137	29834
234	2146	29824
235	2155	29811
236	2164	29799
237	2173	29788
238	2182	29778
239	2191	29770
240	2200	29762
241	2209	29750
242	2218	29739
243	2227	29728
244	2236	29715
245	2245	29707
246	2254	29698
247	2263	29686
248	2272	29675
249	2281	29661
250	2290	29652
251	2299	29643
252	2309	29636
253	2318	29628
254	2327	29617
255	2336	29607
256	2345	29601
257	2355	29594
258	2364	29583
259	2373	29571
260	2382	29561
261	2391	29550
262	2400	29541
263	2409	29532
264	2418	29523
265	2427	29512
266	2436	29500
267	2445	29490
268	2454	29480
269	2463	29469
270	2472	29459
271	2481	29448
272	2492	29461
273	2501	29451
274	2510	29439
275	2519	29430
276	2528	29421
277	2537	29408
278	2546	29397
279	2555	29387
280	2564	29374
281	2573	29365
282	2582	29356
283	2591	29349
284	2600	29340
285	2609	29328
286	2618	29317
287	2627	29309
288	2636	29298
289	2645	29287
290	2654	29277
291	2663	29264
292	2672	29254
293	2681	29244
294	2690	29235
295	2700	29226
296	2708	29214
297	2717	29202
298	2726	29191
299	2735	29182
300	2744	29173
301	2753	29161
302	2762	29150
303	2771	29138
304	2780	29126
305	2789	29119
306	2798	29109
307	2807	29099
308	2816	29089
309	2825	29078
310	2834	29067
311	2843	29057
312	2852	29047
313	2861	29035
314	2870	29023
315	2879	29014
316	2888	29003
317	2897	28993
318	2906	28983
319	2915	28973
320	2924	28962
321	2933	28952
322	2942	28942
323	2951	28931
324	2960	28924
325	2969	28912
326	2978	28903
327	2987	28892
328	2996	28880
329	3005	28871
330	3014	28862
331	3023	28851
332	3032	28841
333	3041	28830
334	3050	28820
335	3059	28811
336	3068	28801
337	3077	28790
338	3086	28779
339	3095	28768
340	3104	28760
341	3113	28750
342	3122	28740
343	3131	28729
344	3140	28719
345	3149	28708
346	3158	28699
347	3167	28690
348	3176	28680
349	3185	28669
350	3194	28658
351	3203	28649
352	3212	28637
353	3221	28628
354	3230	28619
355	3239	28608
356	3248	28597
357	3257	28587
358	3266	28576
359	3275	28568
360	3284	28559
361	3293	28549
362	3302	28538
363	3311	28528
364	3320	28518
365	3329	28509
366	3338	28500
367	3347	28490
368	3356	28480
369	3365	28469
370	3374	28459
371	3383	28451
372	3392	28443
373	3401	28433
374	3410	28423
375	3419	28413
376	3428	28403
377	3438	28397
378	3448	28397
379	3457	28389
380	3466	28380
381	3476	28372
382	3485	28363
383	3494	28356
384	3503	28349
385	3513	28340
386	3522	28334
387	3531	28324
388	3540	28315
389	3549	28306
390	3558	28297
391	3567	28288
392	3577	28279
393	3586	28272
394	3595	28264
395	3604	28256
396	3614	28248
397	3623	28239
398	3632	28231
399	3641	28222
400	3650	28213
401	3660	28205
402	3669	28197
403	3678	28188
404	3687	28178
405	3696	28170
406	3705	28161
407	3714	28151
408	3724	28143
409	3733	28134
410	3742	28126
411	3751	28116
412	3760	28108
413	3769	28098
414	3778	28090
415	3787	28081
416	3797	28072
417	3806	28063
418	3815	28053
419	3824	28045
